,Days,Place,Region,Inches,Millimeters,Latitude,Longitude,mm_day
0,75,Bologna,NE,26.4,671,44.4949,11.3426,8.946666666666667
1,76,Bolzano,NE,28.0,712,46.4983,11.3548,9.368421052631579
2,75,Cervia,NE,25.9,658,44.2635,12.3477,8.773333333333333
3,87,Monte Cimone,NE,24.2,615,44.1938,10.7015,7.068965517241379
4,88,Paganella,NE,30.1,764,46.1333,11.0333,8.681818181818182
5,112,Passo Rolle,NE,40.4,1027,46.3,11.7833,9.169642857142858
6,76,Rimini,NE,25.8,655,44.0678,12.5695,8.618421052631579
7,110,Tarvisio,NE,55.8,1417,46.4655,13.5535,12.881818181818181
8,93,Trieste,NE,39.5,1003,45.6495,13.7768,10.78494623655914
9,78,Venice (Venezia),NE,29.5,748,45.4408,12.3155,9.58974358974359
10,82,Verona,NE,31.6,804,45.4384,10.9916,9.804878048780488
11,88,Vicenza,NE,41.7,1060,45.5455,11.5354,12.045454545454545
12,91,Bergamo,NW,43.4,1103,45.6983,9.6773,12.12087912087912
13,83,Brescia,NW,35.0,888,45.5416,10.2118,10.698795180722891
14,76,Geneo (Genova),NW,42.5,1079,44.4056,8.9463,14.197368421052632
15,83,Milan (Milano),NW,36.2,920,45.4642,9.19,11.08433734939759
16,81,Turin (Torino),NW,38.6,981,45.0703,7.6869,12.11111111111111
17,83,Ancona,C,29.1,739,43.6158,13.5189,8.903614457831326
18,86,Arezzo,C,31.6,802,43.4633,11.8796,9.325581395348838
19,66,Civitavecchia,C,28.0,711,42.0924,11.7954,10.772727272727273
20,88,Florence (Firenze),C,34.4,873,43.7696,11.2558,9.920454545454545
21,51,Monte Argentario,C,17.9,455,42.4073,11.1504,8.92156862745098
22,83,Monte Terminillo,C,29.1,738,42.4667,13.0,8.891566265060241
23,85,Perugia,C,31.7,805,43.1107,12.3908,9.470588235294118
24,84,Pisa,C,35.2,894,43.7228,10.4017,10.642857142857142
25,67,Ponza Island ,C,25.2,639,40.9109,12.9579,9.537313432835822
26,78,Rome (Roma),C,31.4,799,41.9028,12.4964,10.243589743589743
27,83,Volterra,C,30.1,764,43.3994,10.866,9.204819277108435
28,69,Bari,S,22.1,563,41.1171,16.8719,8.159420289855072
29,79,Capo Palinuro,S,28.7,730,40.0292,15.2681,9.240506329113924
30,133,Foggia,S,18.5,469,41.4622,15.5446,3.526315789473684
31,67,Lecce,S,25.2,639,40.3515,18.175,9.537313432835822
32,87,Naples (Napoli),S,39.7,1008,40.8518,14.2681,11.586206896551724
33,73,Pescara,S,25.9,658,42.4618,14.2161,9.013698630136986
34,68,Reggio Calabria,S,21.5,547,38.1113,15.6473,8.044117647058824
35,61,Santa Maria di Leuca,S,22.2,563,39.7995,18.3549,9.229508196721312
36,56,Termoli,S,14.0,357,42.0005,14.9953,6.375
37,65,"Alghero, Sardinia",MI,22.6,573,40.558,8.3193,8.815384615384616
38,62,"Caliari, Sardinia",MI,16.8,428,39.2238,9.1217,6.903225806451613
39,51,"Catania, Sicily",MI,17.6,447,37.5079,15.083,8.764705882352942
40,84,"Messina, Sicily",MI,33.3,847,38.1937,15.5542,10.083333333333334
41,82,"Palermo, Sicily",MI,33.7,855,38.1157,13.3615,10.426829268292684
42,59,Pantelleria Island,MI,19.8,502,36.7853,11.9919,8.508474576271187
43,67,Ustica Island,MI,19.9,505,38.7031,13.1683,7.537313432835821
